Tag;Padre;Agrupador;Elementos;Omitir
dCantProSer;gCamItem;0;1;1
cPaisOrig;gCamItem;0;1;1
dDesPaisOrig;gCamItem;0;1;1
dInfItem;gCamItem;0;1;1
cRelMerc;gCamItem;0;1;1
dDesRelMerc;gCamItem;0;1;1
dCanQuiMer;gCamItem;0;1;1
dPorQuiMer;gCamItem;0;1;1
dCDCAnticipo;gCamItem;0;1;1
gValorItem;gCamItem;1;1;0
dPUniProSer;gValorItem;0;1;1
dTiCamIt;gValorItem;0;1;1
dTotBruOpeItem;gValorItem;0;1;1
gValorRestaItem;gValorItem;1;1;0
dDescItem;gValorRestaItem;0;1;1
dPorcDesIt;gValorRestaItem;0;1;1
dDescGloItem;gValorRestaItem;0;1;1
dAntPreUniIt;gValorRestaItem;0;1;1
dAntGloPreUniIt;gValorRestaItem;0;1;1
dTotOpeItem;gValorRestaItem;0;1;1
dTotOpeGs;gValorRestaItem;0;1;1
gCamIVA;gCamItem;1;1;0
iAfecIVA;gCamIVA;0;1;1
dDesAfecIVA;gCamIVA;0;1;1
dPropIVA;gCamIVA;0;1;1
dTasaIVA;gCamIVA;0;1;1
dBasGravIVA;gCamIVA;0;1;1
dLiqIVAItem;gCamIVA;0;1;1
gRasMerc;gCamItem;1;1;0
dNumLote;gRasMerc;0;1;0
dVencMerc;gRasMerc;0;1;0
dNSerie;gRasMerc;0;1;0
dNumPedi;gRasMerc;0;1;0
dNumSegui;gRasMerc;0;1;0
dNumReg;gRasMerc;0;1;0
dNumRegEntCom;gRasMerc;0;1;0
dNomPro;gRasMerc;0;1;0
gCamEsp;gDtipDE;1;1;0
gVehNuevo;gCamItem;1;1;0
iTipOpVN;gVehNuevo;0;1;0
dDesTipOpVN;gVehNuevo;0;1;0
dChasis;gVehNuevo;0;1;0
dColor;gVehNuevo;0;1;0
dPotencia;gVehNuevo;0;1;0
dCapMot;gVehNuevo;0;1;0
dPNet;gVehNuevo;0;1;0
dPBruto;gVehNuevo;0;1;0
iTipCom;gVehNuevo;0;1;0
dDesTipCom;gVehNuevo;0;1;0
dNroMotor;gVehNuevo;0;1;0
dCapTracc;gVehNuevo;0;1;0
dAnoFab;gVehNuevo;0;1;0
cTipVeh;gVehNuevo;0;1;0
dCapac;gVehNuevo;0;1;0
gGrupEner;gCamEsp;1;1;0
dNroMed;gGrupEner;0;1;0
dActiv;gGrupEner;0;1;0
dCateg;gGrupEner;0;1;0
dLecAnt;gGrupEner;0;1;0
dLecAct;gGrupEner;0;1;0
dConKwh;gGrupEner;0;1;0
gGrupSeg;gCamEsp;1;1;0
dCodEmpSeg;gGrupSeg;0;1;0
gGrupPolSeg;gGrupSeg;1;N;0
dPoliza;gGrupPolSeg;0;1;1
dUnidVig;gGrupPolSeg;0;1;1
dVigencia;gGrupPolSeg;0;1;1
dNumPoliza;gGrupPolSeg;0;1;1
dCodInt;gGrupPolSeg;0;1;1
gGrupSup;gCamEsp;1;1;0
dNomCaj;gGrupSup;0;1;0
dEfectivo;gGrupSup;0;1;0
dVuelto;gGrupSup;0;1;0
dDonac;gGrupSup;0;1;0
dDesDonac;gGrupSup;0;1;0
gGrupAdi;gCamEsp;1;1;0
dCiclo;gGrupAdi;0;1;0
dFecIniC;gGrupAdi;0;1;0
dFecFinC;gGrupAdi;0;1;0
dVencPag;gGrupAdi;0;1;0
dContrato;gGrupAdi;0;1;0
dSalAnt;gGrupAdi;0;1;0
gTransp;gDtipDE;1;transporte_mercaderia;0
iTipTrans;gTransp;0;1;1
dDesTipTrans;gTransp;0;1;1
iModTrans;gTransp;0;1;1
dDesModTrans;gTransp;0;1;1
iRespFlete;gTransp;0;1;1
cCondNeg;gTransp;0;1;1
dNuManif;gTransp;0;1;1
dNuDespImp;gTransp;0;1;1
dIniTras;gTransp;0;1;1
dFinTras;gTransp;0;1;1
cPaisDest;gTransp;0;1;1
dDesPaisDest;gTransp;0;1;1
gCamSal;gTransp;1;1;1
dDirLocSal;gCamSal;0;1;0
dNumCasSal;gCamSal;0;1;0
dComp1Sal;gCamSal;0;1;0
dComp2Sal;gCamSal;0;1;0
cDepSal;gCamSal;0;1;0
dDesDepSal;gCamSal;0;1;0
cDisSal;gCamSal;0;1;0
dDesDisSal;gCamSal;0;1;0
cCiuSal;gCamSal;0;1;0
dDesCiuSal;gCamSal;0;1;0
dTelSal;gCamSal;0;1;0
gCamEnt;gTransp;1;N;0
dDirLocEnt;gCamEnt;0;1;1
dNumCasEnt;gCamEnt;0;1;1
dComp1Ent;gCamEnt;0;1;1
dComp2Ent;gCamEnt;0;1;1
cDepEnt;gCamEnt;0;1;1
dDesDepEnt;gCamEnt;0;1;1
cDisEnt;gCamEnt;0;1;1
dDesDisEnt;gCamEnt;0;1;1
cCiuEnt;gCamEnt;0;1;1
dDesCiuEnt;gCamEnt;0;1;1
dTelEnt;gCamEnt;0;1;1
gVehTras;gTransp;1;N;0
dTiVehTras;gVehTras;0;1;1
dMarVeh;gVehTras;0;1;1
dTipIdenVeh;gVehTras;0;1;1
dNroIDVeh;gVehTras;0;1;1
dAdicVeh;gVehTras;0;1;1
dNroMatVeh;gVehTras;0;1;1
dNroVuelo;gVehTras;0;1;1
gCamTrans;gTransp;1;1;0
iNatTrans;gCamTrans;0;1;0
dNomTrans;gCamTrans;0;1;0
dRucTrans;gCamTrans;0;1;0
dDVTrans;gCamTrans;0;1;0
iTipIDTrans;gCamTrans;0;1;0
dDTipIDTrans;gCamTrans;0;1;0
dNumIDTrans;gCamTrans;0;1;0
cNacTrans;gCamTrans;0;1;0
dDesNacTrans;gCamTrans;0;1;0
dNumIDChof;gCamTrans;0;1;0
dNomChof;gCamTrans;0;1;0
dDomFisc;gCamTrans;0;1;0
dDirChof;gCamTrans;0;1;0
dNombAg;gCamTrans;0;1;0
dRucAg;gCamTrans;0;1;0
dDVAg;gCamTrans;0;1;0
dDirAge;gCamTrans;0;1;0
gTotSub;DE;1;1;0
dSubExe;gTotSub;0;1;0
dSubExo;gTotSub;0;1;0
dSub5;gTotSub;0;1;0
dSub10;gTotSub;0;1;0
dTotOpe;gTotSub;0;1;0
dTotDesc;gTotSub;0;1;0
dTotDescGlotem;gTotSub;0;1;0
dTotAntItem;gTotSub;0;1;0
dTotAnt;gTotSub;0;1;0
dPorcDescTotal;gTotSub;0;1;0
dDescTotal;gTotSub;0;1;0
dAnticipo;gTotSub;0;1;0
dRedon;gTotSub;0;1;0
dComi;gTotSub;0;1;0
dTotGralOpe;gTotSub;0;1;0
dIVA5;gTotSub;0;1;0
dIVA10;gTotSub;0;1;0
dLiqTotIVA5;gTotSub;0;1;0
dLiqTotIVA10;gTotSub;0;1;0
dIVAComi;gTotSub;0;1;0
dTotIVA;gTotSub;0;1;0
dBaseGrav5;gTotSub;0;1;0
dBaseGrav10;gTotSub;0;1;0
dTBasGraIVA;gTotSub;0;1;0
dTotalGs;gTotSub;0;1;0
dTotCom;gTotSub;0;1;0
gCamGen;DE;1;1;0
dOrdCompra;gCamGen;0;1;0
dOrdVta;gCamGen;0;1;0
dAsiento;gCamGen;0;1;0
gCamCarg;gCamGen;1;1;0
cUniMedTotVol;gCamCarg;0;1;0
dDesUniMedTotVol;gCamCarg;0;1;0
dTotVolMerc;gCamCarg;0;1;0
cUniMedTotPes;gCamCarg;0;1;0
dDesUniMedTotPes;gCamCarg;0;1;0
dTotPesMerc;gCamCarg;0;1;0
iCarCarga;gCamCarg;0;1;0
dDesCarCarga;gCamCarg;0;1;0
gCamDEAsoc;DE;1;documentos;0
iTipDocAso;gCamDEAsoc;0;1;1
dDesTipDocAso;gCamDEAsoc;0;1;1
dCdCDERef;gCamDEAsoc;0;1;1
dNTimDI;gCamDEAsoc;0;1;1
dEstDocAso;gCamDEAsoc;0;1;1
dPExpDocAso;gCamDEAsoc;0;1;1
dNumDocAso;gCamDEAsoc;0;1;1
iTipoDocAso;gCamDEAsoc;0;1;1
dDTipoDocAso;gCamDEAsoc;0;1;1
dFecEmiDI;gCamDEAsoc;0;1;1
dNumComRet;gCamDEAsoc;0;1;1
dNumResCF;gCamDEAsoc;0;1;1
iTipCons;gCamDEAsoc;0;1;1
dDesTipCons;gCamDEAsoc;0;1;1
dNumCons;gCamDEAsoc;0;1;1
dNumControl;gCamDEAsoc;0;1;1
Signature;rDE;1;1;1
gCamFuFD;rDE;1;1;0
dCarQR;gCamFuFD;0;1;0
dInfAdic;gCamFuFD;0;1;0
